pattern,support,num_edges,edge_keys
59804c715feae328bfcf0c9c,0.0714285746216774,5,"[0, 1, 37, 60, 65]"
59804c495feae328bfcf05d0,0.1071428582072258,4,"[0, 1, 37, 65]"
59804c105feae328bfcf00b9,0.25,3,"[0, 1, 38]"
59804c495feae328bfcf058e,0.0714285746216774,4,"[0, 1, 38, 59]"
59804c675feae328bfcf0a11,0.0714285746216774,5,"[0, 1, 38, 59, 65]"
59804c495feae328bfcf053b,0.0714285746216774,4,"[0, 1, 38, 63]"
59804c495feae328bfcf0555,0.25,4,"[0, 1, 38, 65]"
59804c675feae328bfcf09b9,0.0714285746216774,5,"[0, 1, 38, 65, 67]"
59804c495feae328bfcf0541,0.0714285746216774,4,"[0, 1, 38, 67]"
59804c105feae328bfcf008e,0.3214285671710968,3,"[0, 1, 46]"
59804c495feae328bfcf0582,0.1785714328289032,4,"[0, 1, 46, 52]"
59804c675feae328bfcf09ec,0.0714285746216774,5,"[0, 1, 46, 52, 63]"
59804c675feae328bfcf095f,0.1785714328289032,5,"[0, 1, 46, 52, 65]"
59804c675feae328bfcf0a27,0.0714285746216774,5,"[0, 1, 46, 52, 67]"
59804c495feae328bfcf0603,0.0714285746216774,4,"[0, 1, 46, 59]"
59804c675feae328bfcf09d5,0.0714285746216774,5,"[0, 1, 46, 59, 65]"
59804c495feae328bfcf0608,0.0714285746216774,4,"[0, 1, 46, 63]"
59804c2c5feae328bfcf02f9,0.3214285671710968,4,"[0, 1, 46, 65]"
59804c675feae328bfcf09c9,0.0714285746216774,5,"[0, 1, 46, 65, 67]"
59804c495feae328bfcf0611,0.0714285746216774,4,"[0, 1, 46, 67]"
59804c105feae328bfcf00b7,0.25,3,"[0, 1, 52]"
59804c495feae328bfcf058d,0.0714285746216774,4,"[0, 1, 52, 59]"
59804c675feae328bfcf0a0f,0.0714285746216774,5,"[0, 1, 52, 59, 65]"
59804c495feae328bfcf053a,0.0714285746216774,4,"[0, 1, 52, 63]"
59804c495feae328bfcf0554,0.25,4,"[0, 1, 52, 65]"
59804c675feae328bfcf09b7,0.0714285746216774,5,"[0, 1, 52, 65, 67]"
59804c495feae328bfcf0540,0.0714285746216774,4,"[0, 1, 52, 67]"
59804c105feae328bfcf006f,0.1785714328289032,3,"[0, 1, 59]"
59804c495feae328bfcf05eb,0.1785714328289032,4,"[0, 1, 59, 65]"
59804c105feae328bfcf00a3,0.0714285746216774,3,"[0, 1, 63]"
59804c105feae328bfcf0095,0.7142857313156128,3,"[0, 1, 65]"
59804c675feae328bfcf0943,0.0714285746216774,4,"[0, 1, 65, 67]"
59804c2c5feae328bfcf02e0,0.0714285746216774,4,"[0, 1, 65, 72]"
59804c2c5feae328bfcf02e1,0.0714285746216774,4,"[0, 1, 65, 72]"
59804c105feae328bfcf00a9,0.0714285746216774,3,"[0, 1, 67]"
59804c105feae328bfcf0027,0.0714285746216774,3,"[0, 1, 72]"
59804c105feae328bfcf0029,0.0714285746216774,3,"[0, 1, 72]"
59804bf45feae328bfcefe7c,0.3214285671710968,2,"[0, 14]"
59804c105feae328bfcf00be,0.3214285671710968,3,"[0, 14, 15]"
59804c495feae328bfcf05c8,0.0714285746216774,4,"[0, 14, 15, 16]"
59804c675feae328bfcf09e7,0.0714285746216774,5,"[0, 14, 15, 16, 72]"
59804c2c5feae328bfcf0319,0.1785714328289032,4,"[0, 14, 15, 38]"
59804c665feae328bfcf091d,0.0714285746216774,5,"[0, 14, 15, 38, 63]"
59804c675feae328bfcf0964,0.1785714328289032,5,"[0, 14, 15, 38, 72]"
59804c495feae328bfcf05c0,0.0714285746216774,4,"[0, 14, 15, 59]"
59804c675feae328bfcf09d6,0.0714285746216774,5,"[0, 14, 15, 59, 72]"
